"Compound","C2_5_2","C2_5_3","C2_5_4","C2_5_5","C2_5_6","C2_5_7","C2_5_8","C5_1","C5_2","C5_3","C5_4","C5_5","C5_6","C15_1","C15_2","C15_3","C15_4","C15_5","C15_6","R2_5_1","R2_5_2","R2_5_3","R2_5_4","R2_5_5","R2_5_6","R5_1","R5_2","R5_3","R5_4","R5_5","R5_6","R15_1","R15_2","R15_3","R15_4","R15_5","R15_6","T2_5_1","T2_5_2","T2_5_3","T2_5_4","T2_5_5","T2_5_6","T5_1","T5_2","T5_3","T5_4","T5_5","T5_6","T15_1","T15_2","T15_3","T15_4","T15_5","T15_6"
"alanine",0.120820536457025,0.40893783498004,0.441323573055768,0.467173780224258,0.323952505123519,0.45991305285128,0.462893047566447,0.342722084176511,0.284420100797399,0.403871083077778,0.36107157311678,0.410680206382786,0.339002256534526,0.090960413383114,0.132520143445888,0.0853264609489329,0.0814670481110503,0.111688950156057,0.0804945685275374,0.432717298558877,0.429205422399867,0.426818134942848,0.384789874804899,0.427335185803011,0.258114981502727,0.436689224322074,0.477575982277402,0.458599521916831,0.443301013125652,0.405453763461046,0.440115773216158,0.149480825565458,0.125907055379642,0.159779988533974,0.184981966793075,0.18199270204648,0.186916915521684,0.560112440805856,0.558998255890099,0.56551227691571,0.547606040544242,0.534322247728601,0.529535630575167,0.438096038988578,0.508492423832175,0.464591426781603,0.520269300572082,0.494586058384311,0.410893258993881,0.230296543109988,0.230066778709977,0.181630886272966,0.203889204416269,0.140273903102913,0.141860593931186
"arginine",0.0474891636592076,0.201451382553003,0.209663137768219,0.230235273216519,0.207397905523323,0.276187277718742,0.154131260269449,0.0944067151290729,0.113553097336994,0.109193489021704,0.199278661072948,0.152184526116495,0.131909519031956,0.0592081332827407,0.0650531063471468,0.078185678698926,0.0562868387163741,0.026591684213144,0.0240263570301005,0.377721804029427,0.412004447727389,0.305977745907352,0.365451715392778,0.313787971419497,0.231307317222536,0.18879511760218,0.273598289926019,0.227478575261034,0.267882207536129,0.172211387508469,0.315734304484479,0.0505290430569773,0.0205509408921177,0.0963708189368685,0.0392827940998331,0.043613949892672,0.0755727271843199,0.343396154728996,0.266790466019462,0.244338624538446,0.193148011026785,0.344876213312569,0.325314557322146,0.0900234448374246,0.0908092546431933,0.0500803214156444,0.0990374094902725,0.275656630315726,0.157456147373288,0.0406442504300058,0.0512564513763191,0.0700050283329854,0.0621575499318706,0.0515268639536477,0.0294224957402028
"asparagine",0.0565856598164002,0.0904231004769703,0.0785328772855622,0.102072112861211,0.662617230333962,0.0368180480194235,0.708082787677422,0.470671944362236,0.0122411342681357,0.0305810227931561,0.0147250222538215,0.046229459960231,0.356990367032526,0.0448740229116028,0.00962923639080739,0.0330038526940435,0.0301293964737709,0.00828749081490952,0.223473998908126,0.787993515958753,0.0558843509707829,0.0237757163511839,0.738969018162959,0.85322972208322,0.0588635965391328,0.104625346332689,0.0486383324383575,0.588851055241391,0.0446785932154436,0.0372783396009855,0.731338582467595,0.345776068004329,0.117561357052067,0.0426121307598612,0.180189159092106,0.387768036811781,0.00712759484617597,0.545721110483757,0.40728003057994,0.626918600496446,0.835411212300065,0.0408586400971735,0.145792426322883,0.589317892441566,0.368237358994968,0.0368227586556756,0.0523352158570551,0.0681400405270877,0.0456509404862755,0.0213627931329756,0.00750265251372452,0.0392497751357828,0.0183269863787676,0.14110787256846,0.290689771177659
"aspartate",0.0279060174443752,0.249616241234894,0.265383459164079,0.345129618728785,0.210643943338829,0.266046822089982,0.225681701843633,0.206056408913358,0.137372755526188,0.19045633891567,0.145051135261767,0.194656207901982,0.114741667575724,0.0252867084995437,0.0261966924580838,0.0257552047961527,0.0289419800173287,0.0198218221106153,0.0282177053921561,0.296798860004333,0.172185603674154,0.227493987824925,0.213532122878623,0.135066495669652,0.0758634924991023,0.18572854821329,0.336912093864559,0.0946582227355963,0.0959298529910626,0.185172194867172,0.207717118676953,0.0661407493378279,0.0365976724853372,0.0525808642937634,0.0498222373077501,0.0567590367580507,0.055951428048676,0.359408459468421,0.274047239250279,0.303736023554044,0.207409132623755,0.385916197444117,0.314415459724073,0.296133487555812,0.312623475739324,0.226005557596564,0.241053873876044,0.296226767183768,0.280991996718099,0.0575065870530271,0.106811084185788,0.0452813900967539,0.0517604896400656,0.041973945104736,0.0300301474613442
"citrulline",0.119555981367731,0.273115065845733,0.268731486715757,0.251221277701896,0.22406517913424,0.377933794812431,0.327148711640163,0.217728944182398,0.185731529006656,0.274032805306361,0.210228463591315,0.243432376613628,0.244843627901912,0.0961893711660204,0.149670099435957,0.111146998792074,0.0992505522977794,0.127985368428649,0.0853444186216102,0.336833341781075,0.420541991635963,0.288870609624153,0.37868549806329,0.42044631665938,0.327592585152491,0.338917859525234,0.346667174726287,0.420669662032384,0.405337231620088,0.302952710731668,0.342522756868589,0.152935590637587,0.111928658391673,0.0745100656334025,0.133850470976146,0.155266292725059,0.111756882946302,0.456748314279682,0.412728765189195,0.453951691839848,0.408205867535168,0.427977113316967,0.43904016429558,0.253834233875846,0.24952735818344,0.127578177788153,0.307411645099377,0.340845438300522,0.237902476247048,0.150853154035819,0.128474341214239,0.172067657181289,0.121647640737238,0.130675566360868,0.137025622567949
"gln-15n-ta",0.21877769891237,0.477146834036366,0.486338809101433,0.408475992169595,0.430449282082914,0.458527414658443,0.469716162716962,0.462438479819076,0.403255441018082,0.48287872160468,0.452009178834849,0.474464949688171,0.445821758404844,0.181159676844882,0.262258908062826,0.164258868232348,0.164355261181924,0.227906270546117,0.189868658876805,0.393448202838014,0.30729525643577,0.393227523479112,0.331526822252206,0.301379490074442,0.178838615483836,0.448926496159945,0.460112051554531,0.42280391012649,0.378887954703631,0.447213222963618,0.410191524732044,0.256020924603974,0.215229392487547,0.258027090865571,0.304019644700981,0.300971100650047,0.301861058762738,0.414904104789308,0.412794357502423,0.433205218783055,0.393478143748385,0.413995131347752,0.370676092800027,0.496534560956661,0.527507234593145,0.428494882572583,0.532646402229477,0.48425163209184,0.474596023654666,0.340782419800733,0.328631546268111,0.289785149819525,0.305674843776312,0.259873483665787,0.266447782677703
"gln-15n2-13c5-tracer",0.0284369323005769,0.135079226647175,0.179766208332831,0.217191731387748,0.164228685848277,0.223679407685289,0.221572914915164,0.099856538640776,0.107615618646929,0.156192502720436,0.137354482537402,0.152057356668267,0.119467594170282,0.0285893633615146,0.0712092122149754,0.0237544149800384,0.0223397416454096,0.0429206539887449,0.0326685188022837,0.308562719340217,0.40834616520404,0.275473132694918,0.328179793922307,0.397744545797399,0.454122453049753,0.21305786326931,0.23066475458057,0.270920492150207,0.303352640861574,0.163559061166168,0.232742987378013,0.0684415436112611,0.0521095583972711,0.0692853727717499,0.074801635880293,0.0647192536959543,0.0809783596003987,0.364942147504782,0.356820170889809,0.363790406366054,0.379199147924773,0.346544140838665,0.382343030703193,0.150043669642737,0.198272921617831,0.177310533630601,0.20660322074944,0.22264510226805,0.123750367980345,0.0904879881907518,0.0852248117014481,0.0645852130859882,0.0758304366004182,0.0604514959264177,0.0901090575364712
"glutamate",0.076046673511567,0.329966755397178,0.375933589715546,0.380934903291573,0.273577330169854,0.402423436543432,0.392288097247336,0.286723502522575,0.227579340455861,0.338290582558992,0.278347547381858,0.328078983461839,0.270522321592831,0.0585831494844907,0.0677453102717766,0.0543881065898455,0.056475755910175,0.0637486320632234,0.0578083165573927,0.375410454119569,0.390547234579098,0.366500718958627,0.348922692352667,0.387630297056707,0.231986765014276,0.37750146018817,0.425942013802526,0.399842439392935,0.364185272025528,0.337839645354982,0.371226419930321,0.100404802026849,0.0816371144375454,0.101191569176626,0.130095152422761,0.126574820644303,0.133478708814021,0.492729387767611,0.480281900453397,0.504573047447315,0.481946718491798,0.478032949902213,0.478057528595522,0.371614486198399,0.436779645465636,0.379727029466531,0.447129413031671,0.439471092719051,0.340264187117746,0.16426452685386,0.1771562236086,0.120811032441489,0.14071312329053,0.0857025039910256,0.0946495000866539
"glycine",0.00575444765239751,0.00584871282848965,0.00540584844116659,0.0061925081745553,0.0039565958045332,0.00434343059640996,0.00624937448808156,0.00566823629173792,0.00523566004546966,0.00654726689146187,0.00546378455791569,0.00696514312541463,0.00533689932538664,0.00368341906286396,0.00727745279232191,0.00327686206224704,0.00528169979717955,0.00610131160445431,0.00595060525841505,0.00310429499391026,0.00243081382987043,0.00304748593483256,0.00269658871870031,0.00283811019655077,0.00144657090915401,0.00657119464116305,0.00769709368330561,0.00739831994829891,0.00681525702815426,0.00702830168289207,0.00563285239457077,0.00702963391482317,0.00691750020626823,0.00626852553196062,0.00778615919554282,0.00653680223827244,0.0077528760799935,0.00625745898828457,0.00559428929168437,0.0080407079661432,0.00564028026528714,0.00709480833355119,0.00736498554177978,0.0076516079489058,0.0105461623716506,0.0100129013846413,0.00999975789797076,0.00793371520754897,0.00895500434933313,0.0067275172544359,0.00674694068124637,0.00662865358218571,0.0074351004349999,0.00512665251849663,0.00846378775730494
"isoleucine",0.00980088656630028,0.00881004397352482,0.00809418543998092,0.00372995426914326,0.00509589713812641,0.00665012202373076,0.00513214574829294,0.0101606545399758,0.0104615704013091,0.00912952051268514,0.00858963736041259,0.00970036197129327,0.00916971756601943,0.00801484777459832,0.00810392379294326,0.00789182237507368,0.00748247688028268,0.00750513754952894,0.00814313482159134,0.00673766884667694,0.00605129622510658,0.00552146408360809,0.00509509131456714,0.00454634261231185,0.00339476548786516,0.00933547334634387,0.010492203602176,0.00837936203157837,0.00740500230609933,0.012312494341991,0.00755966317481425,0.00966526658425888,0.0103550001162388,0.00832106733942594,0.00796406094088251,0.0103393641508787,0.00693657498333855,0.0119261728024311,0.00845048687260441,0.00616713859277628,0.00560241189717986,0.00714050219850903,0.00708043202495582,0.00942533889473058,0.0116291498937992,0.00380276933944575,0.00573414889885015,0.0066368254654486,0.0105093048617077,0.00888805226111918,0.0113251621758872,0.00836168200226766,0.0080853782436444,0.00821164746011054,0.00438202416672291
"leucine",0.0210323561087662,0.0178264230688781,0.0168837431325106,0.011382235166396,0.013000579103812,0.0139142321445312,0.0117772420187679,0.0215999760149284,0.0212740358538164,0.0180310591558782,0.0187268304491826,0.0196815157136155,0.0195834499186113,0.0175394023415138,0.0187770006471374,0.0171103590921583,0.0153699041293928,0.0155139348745682,0.0166526526153421,0.0171984562546454,0.0132248724126417,0.0120114610703531,0.01048558303891,0.0094432278398706,0.00700871459325389,0.0227999438598766,0.0218355227146533,0.0186458838648752,0.0159279566924648,0.0248797528050871,0.0154870644428174,0.0211838300840723,0.0201565126301267,0.0188853477962436,0.0179093236737497,0.0203519168883514,0.0149326523016148,0.0233826943183771,0.0163334505076404,0.0123299950464069,0.0112681587508709,0.0156317445151963,0.016520746518973,0.0192575353279418,0.0239164643859523,0.00960571458823917,0.0130596466202649,0.0155619810087465,0.022416807658449,0.021975614603725,0.0233507794671412,0.018097830482166,0.0166698771993954,0.0183038029328025,0.0101591982589864
"methionine",0.039067734307308,0.0842345628267602,0.0742586939158772,0.0711633006822997,0.0645371908020667,0.0395920777417753,0.06875111826328,0.0781034965396863,0.0692410734157664,0.0708422731257646,0.0765304838994463,0.0734033434761816,0.0601632933171537,0.0359064289272398,0.0619826443352723,0.0201324875440513,0.0228098510065874,0.0427213301477457,0.0230032112718255,0.0469214214906513,0.0492644126248098,0.046681243683966,0.0540760181335131,0.0552019068035718,0.0665936573272163,0.0696518328320059,0.0327031014710402,0.0771503413184187,0.0646809555569874,0.0640973692689398,0.0556369459685147,0.0407696114211074,0.0477979779784441,0.0341123499120231,0.0477898845513009,0.0478734827175239,0.0514178300558359,0.0434775319172566,0.0540937738292727,0.0365185784489401,0.0550346219754391,0.0354172813968304,0.0377228859400552,0.0457610310943003,0.0643707973700192,0.0464580095865042,0.0485407477756392,0.0365979305241138,0.0372249018020658,0.0512187153181355,0.0346942952838498,0.0520505394383112,0.0420412716958007,0.0384744045995847,0.0388541405042945
"ornithine",0.0481293072116115,0.0451884120149054,0.0795539784882553,0.0544869081358298,0.0317543357159229,0.0535960572712683,0.0626448659412275,0.0535891317282785,0.0539034091610752,0.0714792432053791,0.0787138583324375,0.0692101944382335,0.0656908855897969,0.049986530077241,0.0699727633389016,0.0383755228248739,0.03081534303016,0.0719326981723464,0.0477353083544696,0.0296109008941153,0.0335983274604419,0.0114084700375617,0.0211233009275952,0.0239955730044156,0.0129428655289731,0.0619646463109457,0.0486730266175457,0.0553176840362089,0.0524625837605338,0.0625847774679628,0.046604806714315,0.0688599519174499,0.0411894573403895,0.0527467820912281,0.0451895211977016,0.0618706329003279,0.0296885014425504,0.0484225488713831,0.037853193158197,0.0423606053551447,0.0508869370690216,0.0132314380262314,0.0358531869027862,0.357138433521052,0.0316179536929545,0.0431719776817913,0.0705395175681073,0.180333249892175,0.047491976082462,0.0739378126622729,0.0499454620368529,0.0714482053683569,0.0893005469845142,0.0379284225267521,0.0511975308418978
"phenylalanine",0.0298931968505275,0.0446508510756082,0.0449603824347743,0.0529941501857309,0.0297311556704231,0.0293688321550633,0.0331941927764294,0.0378447975506355,0.0326362834238459,0.0407115299660093,0.0526664466712458,0.049514666464931,0.0433166950782743,0.026314891851852,0.0427308286325124,0.0197751177921829,0.0191358890455795,0.0308561930214799,0.0171922534543525,0.0386958768539776,0.0427757604408586,0.0374894432967015,0.0400076628471926,0.0550396286251539,0.0595986637295906,0.0410514909955211,0.0262478704867051,0.0408895072373794,0.057260615992445,0.0429210857750506,0.0350345560481904,0.0327742958781658,0.0338368604157312,0.0377197596151722,0.0422260615968664,0.040445000943411,0.0365349224051179,0.0392565979787885,0.0395152875560686,0.0329874657804205,0.0391166550511059,0.0276165035261911,0.0289678367155913,0.0371684998303813,0.0508409397396069,0.0521855220415059,0.0402810293249616,0.0297166476586786,0.0381246815300503,0.046471406746896,0.0360089209543713,0.0499852359970132,0.0461802349369788,0.0296258416660905,0.0321957202870293
"proline",0.00610227037969231,0.0124795678273387,0.0101509301933815,0.00300007881375114,0.00595737668541925,0.0106390710939688,0.0134474036878523,0.00966575965233483,0.00762732794146941,0.0137045483209279,0.00893388831254656,0.00814965677543877,0.00659002163002145,0.00188531087199106,0.00652288145224452,0.00382351094041402,0.00151177943910235,0.00393034976486954,0.0024346737778983,0.00709171537830292,0.0122147548974606,0.00568819549753187,0.00354222160946259,0.00265537191156616,0.00212706281293756,0.0103896566491718,0.0175474126400546,0.00882558555509291,0.0069886544461644,0.00952489557148158,0.0103291069514727,0.00348739175764136,0.00249723403610297,0.00325287348073407,0.00588656460599893,0.00773759248671252,0.00642009330023592,0.0131680773871445,0.00825367379862371,0.0174155633199275,0.0242519864711882,0.0165095559468667,0.0166381258039781,0.011930361464509,0.0151467207490563,0.015403003501493,0.0199153756629611,0.0203950645190074,0.0162206774782036,0.0092785901347338,0.00981600176957045,0.00688667118499109,0.00947335169430823,0.00398864258520784,0.00308695375252707
"serine",0,0.00427405558572044,0.00407658454516545,0,0.00167534772781169,0.000525186561632657,0.00291611939239705,0.00280072823660276,0,0.00510541497959992,0.00238739425554358,0.00752844049606658,0.00436072796666706,0.00336077285630635,0.00174997744771511,0.000732505890581051,0,0.00251986942585624,0.00439739250452755,0,0,0.00137169576580001,0.000995401104992445,0,0.000292730366012094,0.00506440784718585,0.0030769554895507,0.00191822678400868,0.00831089184707024,0.00646584920673596,0.000856021694767005,0.00321650057843774,0,0,0.00296377737412537,0.00482378336480731,0.00703450044346219,0.0033874009889773,0,0.00542080866159913,0.00413660205653828,0.00272931539150039,0.00272606001121532,0.00585986781249462,0.0039241661296524,0.000758236865347758,0.000384685255934307,0.00213333921626574,0.00638631523880436,0.00272919304558725,0.00433531030888256,0.00223714257832834,0.000955064418845589,0.00216819054017875,0.00582015204219562
"tryptophan",0.000878482787070987,0.00397094636089479,0.00169933426497743,0.00339835887722378,0.00255728517063194,0.00139756868126144,0.00347317981033813,0.00343328906910969,0.00252973470299517,0.00248830017307169,0.00403968139158991,0.00528730881965784,0.00282243927366927,0.00158992786284613,0.00457721609752458,0.00187150662055654,0.00200479208237276,0.00224057240593356,0.00121780507023232,0.00353262994815569,0.00292604063755591,0.00184112653639421,0.00466318303429729,0.0055258253313431,0.00521759007300584,0.00356098127129795,0.000262633626089383,0.00211694286589901,0.00523964600009498,0.00465170480135459,0.00264684798259769,0.00170527508198667,0.00494171731293998,0.00207732520723089,0.00254272982063728,0.00347336678669212,0.00221489413720557,0.00212371609528733,0.00478280908101624,0.00451493813272312,0.00321701029150218,0.00214667517072769,0.00103048291781185,0.00352694370892309,0.00632523488989772,0.00614440758781564,0.00411388811041494,0.000949458280858535,0.00507777070386759,0.00341634967179985,0.00250870762158857,0.00311711172099034,0.00475441539104934,0.00197662076581452,0.00246017171219313
"tyrosine",0.072929054753201,0.263157325877893,0.319487873924512,0.349755557517769,0.260118663697127,0.262555951509994,0.27710321407519,0.2323780874594,0.187317689263245,0.26765885006995,0.259405592159766,0.27158394793515,0.245823701096164,0.0506895397798164,0.0773836195492341,0.0498598581338397,0.0518061285378311,0.0566387774797344,0.0464564243066218,0.2924595158645,0.272478840679669,0.254360052671143,0.235576189676317,0.269749003275781,0.177813436549499,0.271201009253833,0.221781239813973,0.275305071213204,0.27437392710872,0.249876873768238,0.238770073072115,0.0899098236231045,0.0774954095598775,0.0963389298816075,0.114419473091888,0.11232688891541,0.110428702232123,0.311414552296585,0.305911767871828,0.304176781395042,0.268840048465733,0.269398266320128,0.292757449487961,0.248644980576954,0.318661152250294,0.303613395103553,0.329449939739808,0.265046919030212,0.257390916744386,0.154123298089467,0.151940845881713,0.0975687386180465,0.124901012675512,0.0894394667326977,0.0853684138942935
"valine",0.0108182443279162,0.00358478307335246,0.00333820189246989,0.00147471635036415,0.00190978100912947,0.00249328735063589,0.00376900687694918,0.00623997080912052,0.00620059601342377,0.00628948556678595,0.00554034169282785,0.00546172532180129,0.00570736011076021,0.0112267793183592,0.0123716410293071,0.00952518583200093,0.0100603110088355,0.0111862783754337,0.010901987647296,0.00423175885847699,0.00204740734637721,0.00275836696703109,0.00254744807606804,0.00221273555163131,0.00150655506959177,0.0082189637751531,0.0048390209059214,0.00720788143467079,0.00544180515174952,0.008607364854304,0.0038390715237822,0.0115901847735568,0.0111190868392334,0.00777599806172846,0.0109288544678545,0.00991396958524819,0.00964338677154961,0.00550748411711138,0.00357009407074065,0.00329634756387788,0.00192840345939506,0.00369775966958454,0.00292369185189156,0.00551674854846157,0.0106203623440556,0.00425701507361387,0.00609453433291709,0.00554861973104443,0.00870049766046557,0.0100872089056953,0.0113302297561035,0.00620610790770613,0.00729004187631804,0.00839314644743647,0.00869861637878365
